title,url,abstract,published,source,entities
Billionaire founder of Foxconn leaves board to pursue Taiwan presidential bid,https://www.ft.com/content/13c9e04c-f4ce-4fbb-b34f-f2c6a69b1c42,Terry Gou still largest shareholder of world’s biggest iPhone maker,2023-09-03T02:53:13.000000,"Source(id='ft-companies', name='Financial Times Companies', channel=<Channel.RSS: 'RSS'>)","Foxconn:GPE, Taiwan:GPE, Terry Gou:PERSON"
China’s economic slowdown reverberates across Asia,https://www.ft.com/content/ae3c146f-5752-4d04-8a62-d7957a85f542,South Korea mired in longest manufacturing slump since 1970s,2023-09-03T02:00:07.000000,"Source(id='ft-companies', name='Financial Times Companies', channel=<Channel.RSS: 'RSS'>)","China:GPE, Asia:LOC, South Korea:GPE, 1970s:DATE"
Sony takes on Disney and Mukesh Ambani in India with Zee merger,https://www.ft.com/content/483e40ac-b9b8-4e7a-a31d-7e64737e1297,Japanese entertainment powerhouse hopes India’s biggest TV broadcaster can help it repeat previous successes,2023-09-03T02:00:07.000000,"Source(id='ft-companies', name='Financial Times Companies', channel=<Channel.RSS: 'RSS'>)","Sony:ORG, Disney:ORG, Mukesh Ambani:PERSON, India:GPE, Zee:GPE, Japanese:NORP, India:GPE"
Australia revamps hydrogen push to reshape economy,https://www.ft.com/content/02c31621-c524-46c5-809e-ed43ef4e223e,Government intends to offer subsidies to transform industrial towns such as Wollongong,2023-09-03T01:00:07.000000,"Source(id='ft-companies', name='Financial Times Companies', channel=<Channel.RSS: 'RSS'>)","Australia:GPE, Wollongong:PERSON"
UK in talks with Tata Steel over £500mn in green subsidies,https://www.ft.com/content/60f726b8-87de-4752-aae7-62b257ef1122,Britain’s largest steelmaker seeks support for switch to less polluting technology,2023-09-02T17:40:40.000000,"Source(id='ft-companies', name='Financial Times Companies', channel=<Channel.RSS: 'RSS'>)","UK:GPE, Tata Steel:ORG, Britain:GPE"
Magic Leap seeks turnaround as Big Tech invests in augmented reality,https://www.ft.com/content/041ead6f-ecb9-4d6b-8056-5015e6b8be4d,Start-up’s valuation crashed amid poor headset sales but it has gained a competitive edge selling IP around high-tech optics,2023-09-02T13:00:07.000000,"Source(id='ft-companies', name='Financial Times Companies', channel=<Channel.RSS: 'RSS'>)","Magic Leap:PRODUCT, IP:ORG"
‘The Citadel migration’ shaking up Miami’s luxury property market,https://www.ft.com/content/db74ffd6-fc20-4dc8-8816-6b7b65fdfb2f,Relocation of Ken Griffin’s hedge fund from Chicago is driving demand in salubrious suburbs,2023-09-02T12:00:07.000000,"Source(id='ft-companies', name='Financial Times Companies', channel=<Channel.RSS: 'RSS'>)","Miami:GPE, Ken Griffin’s:PERSON, Chicago:GPE"
SoFi to underwrite first big IPO after securing Instacart listing,https://www.ft.com/content/d6e893fa-2e35-4481-a8ce-7b481bcfc99f,San Francisco fintech claimed it was about to break into the market 2½ years ago,2023-09-02T12:00:07.000000,"Source(id='ft-companies', name='Financial Times Companies', channel=<Channel.RSS: 'RSS'>)","SoFi:ORG, first:ORDINAL, IPO:ORG, Instacart:ORG, San Francisco:GPE, 2½ years ago:DATE"
Hollywood strikes take $5bn bite out of California economy,https://www.ft.com/content/447ec409-a50d-4af7-92f2-11bb773389e8,"After 124 days, the studios and unions remain at an impasse",2023-09-02T12:00:07.000000,"Source(id='ft-companies', name='Financial Times Companies', channel=<Channel.RSS: 'RSS'>)","Hollywood:GPE, 5bn:MONEY, California:GPE, 124 days:DATE"
Reviving the German economy,https://www.ft.com/content/1b9fb86b-ce45-4149-85d1-9a9aab31bce9,The ‘sick man of Europe’ label made its debut in 1998 but it seems overdone to apply it today,2023-09-02T10:00:08.000000,"Source(id='ft-companies', name='Financial Times Companies', channel=<Channel.RSS: 'RSS'>)","German:NORP, Europe:LOC, 1998:DATE, today:DATE"
St James’s Place business model under scrutiny after fee cut,https://www.ft.com/content/cba1f8bd-1ac0-4203-99e5-3be0e5ae9b42,"As some clients complain about opaque charges, investors worry recent reduction could be just the start",2023-09-03T04:00:08.000000,"Source(id='ft-personal-finance', name='Financial Times Personal Finance', channel=<Channel.RSS: 'RSS'>)",St James’s Place:PERSON
Gender pension gap to remain for decades without action,https://www.ft.com/content/6b125c5c-eb8a-42dd-b721-34923389ae05,Women caring for children and elderly relatives continues to hit retirement income,2023-09-02T09:01:32.000000,"Source(id='ft-personal-finance', name='Financial Times Personal Finance', channel=<Channel.RSS: 'RSS'>)",decades:DATE
"Investors’ Chronicle: Bunzl, Prudential, PureTech",https://www.ft.com/content/7956eceb-2a6f-4687-9d79-07eb58dbd288,Companies analysis from our sister publication,2023-09-01T17:00:47.000000,"Source(id='ft-personal-finance', name='Financial Times Personal Finance', channel=<Channel.RSS: 'RSS'>)","Bunzl:GPE, Prudential:ORG, PureTech:PRODUCT"
Directors’ Deals: Telecom Plus rings up value,https://www.ft.com/content/0795a6c9-22a5-41bc-86c2-2ed068212ccd,But lower energy prices may hit the group in the medium term,2023-09-01T17:00:47.000000,"Source(id='ft-personal-finance', name='Financial Times Personal Finance', channel=<Channel.RSS: 'RSS'>)",""
Latest savings rates,https://www.ft.com/content/9f46db72-0a1e-42b0-8efe-974a04fa0fc7,Up-to-date deals from banks and building societies,2023-09-01T16:46:20.000000,"Source(id='ft-personal-finance', name='Financial Times Personal Finance', channel=<Channel.RSS: 'RSS'>)",""
Latest Isa rates,https://www.ft.com/content/75ba3055-625c-4cb5-894b-0696a38f5e79,Up-to-date tax-efficient savings deals,2023-09-01T16:43:37.000000,"Source(id='ft-personal-finance', name='Financial Times Personal Finance', channel=<Channel.RSS: 'RSS'>)",Latest Isa:ORG
Latest National Savings & Investments rates,https://www.ft.com/content/68b36b6d-71e7-4f44-bbfb-a202e36603a4,Current rates from the state-owned savings bank,2023-09-01T16:35:53.000000,"Source(id='ft-personal-finance', name='Financial Times Personal Finance', channel=<Channel.RSS: 'RSS'>)",Latest National Savings & Investments:ORG
I’m a bond casualty but I won’t die,https://www.ft.com/content/1af0e5e8-e50e-47d1-910c-b13fd1a5f7bd,In fact the latest data screams ‘more fixed income!’,2023-09-01T13:53:05.000000,"Source(id='ft-personal-finance', name='Financial Times Personal Finance', channel=<Channel.RSS: 'RSS'>)",""
Are you too passive about your passive investments?,https://www.ft.com/content/b5c6e60b-7e69-497e-8355-9507b76a78ad,"If you haven’t reviewed your holdings for a few years, you may be shocked by the fees",2023-09-01T04:00:48.000000,"Source(id='ft-personal-finance', name='Financial Times Personal Finance', channel=<Channel.RSS: 'RSS'>)",a few years:DATE
Options: don’t be a hero — steer clear of zeroes,https://www.ft.com/content/dc255612-f9f0-4708-b3df-39ec8e8b48d2,"Ultra-short contracts, already popular in the US, are now in Europe",2023-09-01T04:00:48.000000,"Source(id='ft-personal-finance', name='Financial Times Personal Finance', channel=<Channel.RSS: 'RSS'>)","US:GPE, Europe:LOC"
Cash buyers wield a new level of power in the property market,https://www.ft.com/content/345ecf9d-c540-4fad-8ca4-a7d62095e63f,"The ability to pay upfront earns preference and price cuts, while those with mortgages go to the back of the queue",2023-09-01T04:00:48.000000,"Source(id='ft-personal-finance', name='Financial Times Personal Finance', channel=<Channel.RSS: 'RSS'>)",""
Prepare to pay more tax whoever wins the election,https://www.ft.com/content/cdd0ac80-e67b-43b6-aee1-b51c58d1ddbb,Taxpayers face a struggle to balance their finances as fiscal screw tightens,2023-09-01T04:00:48.000000,"Source(id='ft-personal-finance', name='Financial Times Personal Finance', channel=<Channel.RSS: 'RSS'>)",""
Home from holiday — but can you get your money back?,https://www.ft.com/content/432c1478-45f4-4d85-b9e8-9b5c132a2c2b,The enforcement of air passenger rights has been off the official radar screen for too long,2023-09-01T04:00:48.000000,"Source(id='ft-personal-finance', name='Financial Times Personal Finance', channel=<Channel.RSS: 'RSS'>)",""
FT Wealth: September,https://www.ft.com/reports/wealth,In this edition: How AI can enhance wealth management performance; wealth managers step up as the Irish economy booms; philanthropists are rewilding unprotected land as their legacy; unique challenges facing winery owners in China; branded residences give the property sector a boost,2023-09-01T03:03:37.000000,"Source(id='ft-personal-finance', name='Financial Times Personal Finance', channel=<Channel.RSS: 'RSS'>)","September:DATE, Irish:NORP, China:GPE"
World’s wealth managers look to Asia in response to shift in global affluence,https://www.ft.com/content/417bed50-361c-4ef4-8aeb-31a11eef8228,Boston Consulting Group report predicts fortunes in Asia will rise faster than the world average,2023-09-01T03:00:48.000000,"Source(id='ft-personal-finance', name='Financial Times Personal Finance', channel=<Channel.RSS: 'RSS'>)","Asia:LOC, Boston Consulting Group:ORG, Asia:LOC"
Would an annuity work for you?,https://www.ft.com/content/92bf17b6-eefe-4e9f-8996-58f7c6619035,"Check your personal circumstances, as what’s right for one person is not for another",2023-08-31T09:55:21.000000,"Source(id='ft-personal-finance', name='Financial Times Personal Finance', channel=<Channel.RSS: 'RSS'>)",one:CARDINAL
"UK pension schemes could save £2bn in fees, research finds",https://www.ft.com/content/bedbe58f-1dde-4c09-9bd8-7d55acdffcbe,Data showing big gaps in investment costs suggests lack of transparency is hitting pension savers,2023-08-31T04:00:35.000000,"Source(id='ft-personal-finance', name='Financial Times Personal Finance', channel=<Channel.RSS: 'RSS'>)","UK:GPE, 2bn:MONEY"
NS&I puts pressure on banks with market-leading 6.2% bond,https://www.ft.com/content/295e3fd5-496d-48c6-817a-9bc1c0dec566,Move comes amid government pressure on deposit-takers to boost offering to savers,2023-08-30T11:59:02.000000,"Source(id='ft-personal-finance', name='Financial Times Personal Finance', channel=<Channel.RSS: 'RSS'>)",6.2%:PERCENT
UK mortgage approvals fall more than expected amid high borrowing costs,https://www.ft.com/content/a77e0bd9-e57f-438b-8c66-9871ffc3cd7d,"Bank of England data shows new deals down 10% between June and July, while consumers cut back on credit",2023-08-30T11:23:22.000000,"Source(id='ft-personal-finance', name='Financial Times Personal Finance', channel=<Channel.RSS: 'RSS'>)","UK:GPE, Bank of England:ORG, 10%:PERCENT, between June and July:DATE"
Why bigger pension funds are better for the UK,https://www.ft.com/content/2bea3268-c73d-45a9-b7b0-cd5c33229466,There might not be a correlation between size and performance but there is a case for consolidation,2023-08-30T04:00:18.000000,"Source(id='ft-personal-finance', name='Financial Times Personal Finance', channel=<Channel.RSS: 'RSS'>)",UK:GPE
What are the complications of buying a house with a friend?,https://www.ft.com/content/24f53698-0698-4c02-9266-51ed8274d8f2,I worry about the potential inheritance of a shared property,2023-08-30T04:00:18.000000,"Source(id='ft-personal-finance', name='Financial Times Personal Finance', channel=<Channel.RSS: 'RSS'>)",""
UK tax change has a knock-on effect on gifts to charities abroad,https://www.ft.com/content/6006c6e1-5033-43d9-b2c5-ad906118e830,EU-based organisations no longer benefit from reliefs after Jeremy Hunt’s Budget,2023-08-30T04:00:18.000000,"Source(id='ft-personal-finance', name='Financial Times Personal Finance', channel=<Channel.RSS: 'RSS'>)","UK:GPE, EU:ORG, Jeremy Hunt’s:PERSON"
"UK house sales set for slowest year since 2012, says Zoopla",https://www.ft.com/content/ec4d1bb5-7a94-451c-bf12-02e97394146d,Research by property portal points to impact of higher borrowing costs on prospective homebuyers,2023-08-29T23:01:50.000000,"Source(id='ft-personal-finance', name='Financial Times Personal Finance', channel=<Channel.RSS: 'RSS'>)","UK:GPE, slowest year:DATE, 2012:DATE"
Investment masterclass: Are bonds back?,https://www.ft.com/content/f10b33aa-e6b4-4e96-a9a5-f9171aab35b5,Everything you wanted to know about investing in bonds but were too afraid to ask,2023-08-29T04:00:28.000000,"Source(id='ft-personal-finance', name='Financial Times Personal Finance', channel=<Channel.RSS: 'RSS'>)",""
Alternative investments lose steam as fundraising slows down,https://www.ft.com/content/798cfce2-4bd0-472e-ae75-b7d34ded70e3,Investor says ‘it’s all changed’ as inflows drop by hundreds of billions of dollars,2023-08-29T04:00:26.000000,"Source(id='ft-personal-finance', name='Financial Times Personal Finance', channel=<Channel.RSS: 'RSS'>)",hundreds of billions of dollars:MONEY
